video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000121000000.mp4,184,motorcycle,1,29.148,22.5
ch01_00000000121000000.mp4,374,motorcycle,1,49.396,14.4
ch01_00000000121000000.mp4,496,car,2,59.046,25.7
ch01_00000000121000000.mp4,566,motorcycle,1,64.645,17.1
ch01_00000000121000000.mp4,919,motorcycle,1,102.543,32.7
ch01_00000000121000000.mp4,1000,motorcycle,1,106.142,17.1
ch01_00000000121000000.mp4,1019,motorcycle,1,107.892,32.7
ch01_00000000121000000.mp4,1023,motorcycle,1,108.092,30.0
ch01_00000000121000000.mp4,1026,motorcycle,1,108.442,30.0
ch01_00000000121000000.mp4,1036,car,2,110.992,40.0
ch01_00000000121000000.mp4,1056,car,2,112.692,40.0
ch01_00000000121000000.mp4,1099,motorcycle,1,119.841,22.5
ch01_00000000121000000.mp4,1129,motorcycle,1,122.091,20.0
ch01_00000000121000000.mp4,1210,truck,6,130.141,25.7
ch01_00000000121000000.mp4,1229,motorcycle,1,130.44,21.2
ch01_00000000121000000.mp4,1274,motorcycle,1,135.49,16.4
ch01_00000000121000000.mp4,1356,motorcycle,1,142.04,36.0
ch01_00000000121000000.mp4,1408,motorcycle,1,147.839,12.9
ch01_00000000121000000.mp4,1499,motorcycle,1,157.289,22.5
ch01_00000000121000000.mp4,1618,car,2,168.938,30.0
ch01_00000000121000000.mp4,1896,motorcycle,1,194.286,8.4
ch01_00000000121000000.mp4,2168,motorcycle,1,221.134,22.5
ch01_00000000121000000.mp4,2247,car,2,225.284,22.5
ch01_00000000121000000.mp4,2340,motorcycle,1,236.633,12.9
ch01_00000000121000000.mp4,2702,motorcycle,1,267.531,30.0
ch01_00000000121000000.mp4,2750,motorcycle,1,271.63,22.5
ch01_00000000121000000.mp4,2756,motorcycle,1,272.43,27.7
ch01_00000000121000000.mp4,2835,motorcycle,1,279.78,18.0
ch01_00000000121000000.mp4,2878,motorcycle,1,283.479,32.7
ch01_00000000121000000.mp4,2913,motorcycle,1,286.079,32.7
ch01_00000000121000000.mp4,2972,car,2,288.829,30.0
ch01_00000000121000000.mp4,3144,motorcycle,1,307.628,10.9
ch01_00000000121000000.mp4,3230,motorcycle,1,317.377,30.0
ch01_00000000121000000.mp4,3350,motorcycle,1,326.626,32.7
ch01_00000000121000000.mp4,3425,truck,4,336.376,30.0
ch01_00000000121000000.mp4,3575,motorcycle,1,350.825,30.0
ch01_00000000121000000.mp4,3677,truck,6,361.674,25.7
ch01_00000000121000000.mp4,3736,motorcycle,1,364.224,21.2
ch01_00000000121000000.mp4,4184,car,2,406.87,24.0
ch01_00000000121000000.mp4,4228,motorcycle,1,413.87,10.3
ch01_00000000121000000.mp4,4296,motorcycle,1,417.82,27.7
ch01_00000000121000000.mp4,4319,motorcycle,1,419.27,7.7
ch01_00000000121000000.mp4,4393,motorcycle,1,422.069,32.7
ch01_00000000121000000.mp4,4460,motorcycle,1,430.269,21.2
ch01_00000000121000000.mp4,4468,truck,4,430.919,30.0
ch01_00000000121000000.mp4,4473,truck,4,432.269,30.0
ch01_00000000121000000.mp4,4536,car,2,437.318,25.7
ch01_00000000121000000.mp4,4546,motorcycle,1,438.368,36.0
ch01_00000000121000000.mp4,4685,motorcycle,1,457.317,40.0
ch01_00000000121000000.mp4,4991,motorcycle,1,474.615,32.7
ch01_00000000121000000.mp4,5039,motorcycle,1,479.015,30.0
ch01_00000000121000000.mp4,5062,motorcycle,1,480.215,21.2
ch01_00000000121000000.mp4,5095,motorcycle,1,483.615,25.7
ch01_00000000121000000.mp4,5131,motorcycle,1,484.565,32.7
ch01_00000000121000000.mp4,5251,motorcycle,1,495.514,18.0
ch01_00000000121000000.mp4,5423,motorcycle,1,508.813,12.4
ch01_00000000121000000.mp4,5696,car,2,526.762,30.0
ch01_00000000121000000.mp4,5700,car,2,527.462,32.7
ch01_00000000121000000.mp4,5905,motorcycle,1,547.26,22.5
ch01_00000000121000000.mp4,6048,car,2,564.359,20.0
ch01_00000000121000000.mp4,6142,motorcycle,1,574.308,32.7
ch01_00000000121000000.mp4,6183,motorcycle,1,580.908,30.0
ch01_00000000121000000.mp4,6191,truck,6,583.558,22.5
ch01_00000000121000000.mp4,6210,motorcycle,1,583.808,25.7
ch01_00000000121000000.mp4,6251,motorcycle,1,586.657,30.0
ch01_00000000121000000.mp4,6306,motorcycle,1,588.957,20.0
ch01_00000000121000000.mp4,6310,motorcycle,1,588.957,18.9
ch01_00000000121000000.mp4,6318,motorcycle,1,589.407,27.7
ch01_00000000121000000.mp4,6385,car,2,595.657,25.7
ch01_00000000121000000.mp4,6427,motorcycle,1,599.657,30.0
ch01_00000000121000000.mp4,6630,car,2,624.505,32.7
ch01_00000000121000000.mp4,6652,car,2,626.804,32.7
ch01_00000000121000000.mp4,6778,car,2,642.003,40.0
ch01_00000000121000000.mp4,6804,car,2,646.303,25.7
ch01_00000000121000000.mp4,7225,motorcycle,1,682.0,22.5
ch01_00000000121000000.mp4,7543,motorcycle,1,712.248,40.0
ch01_00000000121000000.mp4,7581,truck,4,714.498,30.0
ch01_00000000121000000.mp4,7764,motorcycle,1,731.347,22.5
ch01_00000000121000000.mp4,7800,truck,4,734.797,45.0
ch01_00000000121000000.mp4,7820,motorcycle,1,736.596,36.0
ch01_00000000121000000.mp4,7960,motorcycle,1,748.496,25.7
ch01_00000000121000000.mp4,8016,car,2,750.446,36.0
ch01_00000000121000000.mp4,8035,car,3,752.995,21.2
ch01_00000000121000000.mp4,8077,car,2,754.345,36.0
ch01_00000000121000000.mp4,8148,car,3,760.595,30.0
ch01_00000000121000000.mp4,8238,truck,6,774.194,17.1
ch01_00000000121000000.mp4,8268,motorcycle,1,775.294,17.1
ch01_00000000121000000.mp4,8271,motorcycle,1,775.544,17.1
ch01_00000000121000000.mp4,8291,motorcycle,1,780.993,12.4
ch01_00000000121000000.mp4,8392,truck,6,796.542,30.0
ch01_00000000121000000.mp4,8599,motorcycle,1,813.591,32.7
ch01_00000000121000000.mp4,8802,car,2,826.64,40.0
ch01_00000000121000000.mp4,8863,motorcycle,1,834.489,32.7
ch01_00000000121000000.mp4,9050,car,2,856.188,21.2
ch01_00000000121000000.mp4,9277,motorcycle,1,873.487,27.7
ch01_00000000121000000.mp4,9592,motorcycle,1,896.085,30.0
ch01_00000000121000000.mp4,9626,motorcycle,1,897.385,30.0
ch01_00000000121000000.mp4,9675,motorcycle,1,900.335,27.7
ch01_00000000121000000.mp4,9771,motorcycle,1,904.484,24.0
ch01_00000000121000000.mp4,9833,motorcycle,1,907.584,36.0
ch01_00000000121000000.mp4,9843,motorcycle,1,908.184,21.2
ch01_00000000121000000.mp4,9834,car,3,908.234,14.4
ch01_00000000121000000.mp4,9861,motorcycle,1,908.734,24.0
ch01_00000000121000000.mp4,10027,motorcycle,1,927.183,11.6
ch01_00000000121000000.mp4,10124,motorcycle,1,934.382,25.7
ch01_00000000121000000.mp4,10407,car,2,959.08,36.0
ch01_00000000121000000.mp4,10465,motorcycle,1,965.13,10.3
ch01_00000000121000000.mp4,10667,motorcycle,1,982.229,27.7
ch01_00000000121000000.mp4,10682,car,2,984.029,30.0
ch01_00000000121000000.mp4,10910,car,2,1008.877,30.0
ch01_00000000121000000.mp4,11006,car,2,1021.876,25.7
ch01_00000000121000000.mp4,11408,motorcycle,1,1052.874,36.0
ch01_00000000121000000.mp4,11451,motorcycle,1,1055.923,27.7
ch01_00000000121000000.mp4,11469,truck,6,1058.123,36.0
ch01_00000000121000000.mp4,11511,motorcycle,1,1061.923,25.7
ch01_00000000121000000.mp4,11610,motorcycle,1,1073.122,36.0
ch01_00000000121000000.mp4,11716,motorcycle,1,1080.822,15.7
ch01_00000000121000000.mp4,11792,motorcycle,1,1088.171,13.3
ch01_00000000121000000.mp4,12060,car,2,1106.87,25.7
ch01_00000000121000000.mp4,12139,motorcycle,1,1111.419,25.7
ch01_00000000121000000.mp4,12159,motorcycle,1,1114.119,8.0
ch01_00000000121000000.mp4,12583,car,2,1156.866,20.0
ch01_00000000121000000.mp4,12697,motorcycle,1,1165.815,22.5
ch01_00000000121000000.mp4,13123,truck,6,1199.563,18.0
ch01_00000000121000000.mp4,13414,car,3,1215.012,40.0
ch01_00000000121000000.mp4,13472,motorcycle,1,1216.812,30.0
ch01_00000000121000000.mp4,13502,motorcycle,1,1218.562,25.7
ch01_00000000121000000.mp4,13538,motorcycle,1,1221.311,25.7
ch01_00000000121000000.mp4,13557,motorcycle,1,1222.711,25.7
ch01_00000000121000000.mp4,13606,motorcycle,1,1226.711,20.0
ch01_00000000121000000.mp4,13749,motorcycle,1,1234.71,18.9
ch01_00000000121000000.mp4,13863,motorcycle,1,1242.36,20.0
ch01_00000000121000000.mp4,13908,motorcycle,1,1249.559,40.0
ch01_00000000121000000.mp4,13918,car,3,1251.309,32.7
ch01_00000000121000000.mp4,13946,car,2,1253.459,40.0
ch01_00000000121000000.mp4,13996,car,2,1260.809,32.7
ch01_00000000121000000.mp4,14024,car,2,1262.158,32.7
ch01_00000000121000000.mp4,14080,motorcycle,1,1266.908,27.7
ch01_00000000121000000.mp4,14087,motorcycle,1,1267.558,22.5
ch01_00000000121000000.mp4,14089,motorcycle,1,1267.708,22.5
ch01_00000000121000000.mp4,14112,motorcycle,1,1271.858,17.1
ch01_00000000121000000.mp4,14143,motorcycle,1,1275.007,17.1
ch01_00000000121000000.mp4,14276,car,2,1282.707,27.7
ch01_00000000121000000.mp4,14738,car,2,1315.155,30.0
ch01_00000000121000000.mp4,14780,car,2,1318.554,32.7
ch01_00000000121000000.mp4,15072,motorcycle,1,1338.453,27.7
ch01_00000000121000000.mp4,15230,car,2,1354.002,32.7
ch01_00000000121000000.mp4,15351,car,2,1366.551,32.7
ch01_00000000121000000.mp4,15401,motorcycle,1,1370.7,36.0
ch01_00000000121000000.mp4,15416,motorcycle,1,1375.0,30.0
ch01_00000000121000000.mp4,15459,motorcycle,1,1383.25,24.0
ch01_00000000121000000.mp4,15523,motorcycle,1,1388.749,20.0
ch01_00000000121000000.mp4,15543,car,2,1391.899,21.2
ch01_00000000121000000.mp4,15609,motorcycle,1,1395.249,18.9
ch01_00000000121000000.mp4,15753,motorcycle,1,1403.598,32.7
ch01_00000000121000000.mp4,15863,car,2,1413.447,13.8
ch01_00000000121000000.mp4,15899,motorcycle,1,1414.847,13.3
ch01_00000000121000000.mp4,15919,car,2,1416.597,22.5
ch01_00000000121000000.mp4,16067,motorcycle,1,1427.196,12.9
ch01_00000000121000000.mp4,16233,truck,6,1440.595,27.7
ch01_00000000121000000.mp4,16293,motorcycle,1,1444.895,16.4
ch01_00000000121000000.mp4,16375,truck,6,1451.345,27.7
ch01_00000000121000000.mp4,16532,motorcycle,1,1468.393,25.7
ch01_00000000121000000.mp4,16751,motorcycle,1,1486.342,7.7
ch01_00000000121000000.mp4,16806,motorcycle,1,1487.842,36.0
ch01_00000000121000000.mp4,17045,motorcycle,1,1506.791,6.7
ch01_00000000121000000.mp4,17068,motorcycle,1,1507.991,10.9
ch01_00000000121000000.mp4,17121,car,2,1512.64,24.0
ch01_00000000121000000.mp4,17299,truck,4,1526.989,36.0
ch01_00000000121000000.mp4,17356,car,2,1530.139,32.7
ch01_00000000121000000.mp4,17456,car,2,1535.539,36.0
ch01_00000000121000000.mp4,17722,motorcycle,1,1554.737,18.9
ch01_00000000121000000.mp4,17858,motorcycle,1,1570.986,25.7
ch01_00000000121000000.mp4,18092,car,2,1595.234,21.2
ch01_00000000121000000.mp4,18296,car,2,1605.983,18.9
ch01_00000000121000000.mp4,18344,motorcycle,1,1608.483,24.0
ch01_00000000121000000.mp4,18425,bus,5,1617.033,7.8
ch01_00000000121000000.mp4,18543,motorcycle,1,1627.682,27.7
ch01_00000000121000000.mp4,18976,car,2,1660.53,20.0
ch01_00000000121000000.mp4,19290,motorcycle,1,1681.378,8.4
ch01_00000000121000000.mp4,19429,motorcycle,1,1694.077,24.0
ch01_00000000121000000.mp4,19430,car,2,1695.677,24.0
ch01_00000000121000000.mp4,19515,car,2,1703.026,30.0
ch01_00000000121000000.mp4,19596,truck,6,1710.726,27.7
ch01_00000000121000000.mp4,19627,car,2,1713.476,25.7
ch01_00000000121000000.mp4,19711,car,2,1719.275,25.7
ch01_00000000121000000.mp4,19894,car,2,1733.624,32.7
ch01_00000000121000000.mp4,20071,car,3,1748.073,40.0
ch01_00000000121000000.mp4,20116,car,2,1751.673,27.7
ch01_00000000121000000.mp4,20153,car,2,1753.523,30.0
ch01_00000000121000000.mp4,20583,motorcycle,1,1784.62,22.5
ch01_00000000121000000.mp4,20740,car,3,1797.27,27.7
ch01_00000000121000000.mp4,20821,car,2,1806.869,17.1
ch01_00000000121000000.mp4,20931,motorcycle,1,1816.118,22.5
ch01_00000000121000000.mp4,21356,motorcycle,1,1847.416,32.7
ch01_00000000121000000.mp4,21405,motorcycle,1,1854.065,27.7
ch01_00000000121000000.mp4,21408,car,2,1855.015,22.5
ch01_00000000121000000.mp4,21491,truck,4,1858.665,32.7
ch01_00000000121000000.mp4,21524,truck,6,1860.815,27.7
ch01_00000000121000000.mp4,21535,truck,6,1862.065,21.2
ch01_00000000121000000.mp4,21579,truck,4,1867.114,32.7
ch01_00000000121000000.mp4,21598,motorcycle,1,1872.514,27.7
ch01_00000000121000000.mp4,21906,car,2,1907.911,24.0
ch01_00000000121000000.mp4,22051,motorcycle,1,1918.611,30.0
ch01_00000000121000000.mp4,22024,car,3,1919.461,17.1
ch01_00000000121000000.mp4,22160,motorcycle,1,1926.31,27.7
ch01_00000000121000000.mp4,23153,motorcycle,1,1999.405,32.7
ch01_00000000121000000.mp4,23196,car,2,2002.155,32.7
ch01_00000000121000000.mp4,23255,car,2,2006.104,32.7
ch01_00000000121000000.mp4,23270,motorcycle,1,2006.504,30.0
ch01_00000000121000000.mp4,23316,car,2,2010.454,36.0
ch01_00000000121000000.mp4,23441,motorcycle,1,2018.803,25.7
ch01_00000000121000000.mp4,23452,motorcycle,1,2019.753,9.2
ch01_00000000121000000.mp4,23525,truck,4,2023.803,21.2
ch01_00000000121000000.mp4,23537,motorcycle,1,2024.703,20.0
ch01_00000000121000000.mp4,23740,car,3,2041.902,22.5
ch01_00000000121000000.mp4,23774,car,2,2044.152,32.7
ch01_00000000121000000.mp4,23869,motorcycle,1,2055.101,8.6
ch01_00000000121000000.mp4,23880,motorcycle,1,2055.651,6.7
ch01_00000000121000000.mp4,23907,motorcycle,1,2057.351,25.7
ch01_00000000121000000.mp4,23964,motorcycle,1,2061.6,21.2
ch01_00000000121000000.mp4,23981,car,2,2065.15,25.7
ch01_00000000121000000.mp4,24204,car,2,2083.949,22.5
ch01_00000000121000000.mp4,24367,truck,6,2101.547,11.3
ch01_00000000121000000.mp4,24436,truck,6,2107.997,12.4
ch01_00000000121000000.mp4,24796,motorcycle,1,2136.845,12.0
